Gene symbol;Element subtype;Class;;;;;;;;;
aac(6')-Ib-cr5;AMR;AMINOGLYCOSIDE/QUINOLONE;;;;;;;;;
aac(6')-Ib-cr;AMR;AMINOGLYCOSIDE/QUINOLONE;;;;;;;;;
arsR;METAL;ARSENIC;;;;;;;;;
arsD;METAL;ARSENIC;;;;;;;;;
arsA;METAL;ARSENIC;;;;;;;;;
arsB;METAL;ARSENIC;;;;;;;;;
arsC;METAL;ARSENIC;;;;;;;;;
blaKPC-2;AMR;BETA-LACTAM;;;;;;;;;
blaNDM-7;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-1;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-1;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-15;AMR;BETA-LACTAM;;;;;;;;;
blaI;AMR;BETA-LACTAM;;;;;;;;;
blaR1;AMR;BETA-LACTAM;;;;;;;;;
blaZ;AMR;BETA-LACTAM;;;;;;;;;
blaVIM-1;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-10;AMR;BETA-LACTAM;;;;;;;;;
blaVEB-1;AMR;BETA-LACTAM;;;;;;;;;
blaNDM-5;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-48;AMR;BETA-LACTAM;;;;;;;;;
blaNDM-1;AMR;BETA-LACTAM;;;;;;;;;
blaCMY-6;AMR;BETA-LACTAM;;;;;;;;;
blaPC1;AMR;BETA-LACTAM;;;;;;;;;
blaGES-1;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-9;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-427;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-9;AMR;BETA-LACTAM;;;;;;;;;
blaSHV-12;AMR;BETA-LACTAM;;;;;;;;;
blaLAP-2;AMR;BETA-LACTAM;;;;;;;;;
blaOXA;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-14;AMR;BETA-LACTAM;;;;;;;;;
blaKPC-3;AMR;BETA-LACTAM;;;;;;;;;
blaSHV-11;AMR;BETA-LACTAM;;;;;;;;;
blaCARB-2;AMR;BETA-LACTAM;;;;;;;;;
blaIMP-4;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-58;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-176;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-232;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-1039;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-39;AMR;BETA-LACTAM;;;;;;;;;
blaDHA;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-162;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-27;AMR;BETA-LACTAM;;;;;;;;;
blaTEM;AMR;BETA-LACTAM;;;;;;;;;
blaCMY-42;AMR;BETA-LACTAM;;;;;;;;;
blaEC;AMR;BETA-LACTAM;;;;;;;;;
blaDHA-1;AMR;BETA-LACTAM;;;;;;;;;
blaVIM-4;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-181;AMR;BETA-LACTAM;;;;;;;;;
blaCMY-16;AMR;BETA-LACTAM;;;;;;;;;
blaIMI-2;AMR;BETA-LACTAM;;;;;;;;;
blaIMP-1;AMR;BETA-LACTAM;;;;;;;;;
blaDHA-7;AMR;BETA-LACTAM;;;;;;;;;
blaVEB-6;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-245;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M;AMR;BETA-LACTAM;;;;;;;;;
blaGES-11;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-72;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-23;AMR;BETA-LACTAM;;;;;;;;;
blaNDM-60;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-244;AMR;BETA-LACTAM;;;;;;;;;
blaSHV-1;AMR;BETA-LACTAM;;;;;;;;;
blaCMY-4;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-195;AMR;BETA-LACTAM;;;;;;;;;
blaCMY-145;AMR;BETA-LACTAM;;;;;;;;;
